  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"2Q Ene 2003","53.536319829924","57.524842141307","53.975931541184","43.867471033221","63.298753467853","60.740382679887","65.345463385325","46.036937682485","61.644545536865","42.515738282107","41.626849369601","45.205474832604","39.332272471292","43.047534432167","40.336492821571","48.692978117856"
"1Q Feb 2003","53.616100297056","57.673622410225","54.115277841594","44.024059756011","63.420480502886","60.897728673427","65.542448983908","46.144140111753","61.784016586155","42.412306764961","41.230339569248","43.549737037925","39.712169916042","43.126150026885","40.395431344648","48.810988393523"
"2Q Feb 2003","53.732144612883","57.792154043450","54.198463920980","44.132957808657","63.478317161855","61.050256859425","65.700772180972","46.187892581271","61.972603724169","42.520017962749","41.323429852035","43.328792074458","39.998468613321","43.242889479899","40.556440581389","48.841081833580"
"1Q Mar 2003","53.944029100264","57.913556322793","54.326377154678","44.282142473274","63.584820469558","61.164775298159","65.874945461311","46.209024565956","62.068937066038","42.970764205843","42.235608519180","45.362565632944","40.217885160688","43.406877839500","40.788991826491","48.870763424669"
"2Q Mar 2003","54.081831725309","58.021371620846","54.396364892113","44.375657543717","63.631658104853","61.309057024806","65.985204071750","46.270174883084","62.275125228568","43.186311355960","42.727101908066","46.478607038346","40.323657201384","43.450963429301","40.833222569996","48.914860338640"
"1Q Abr 2003","54.088048385085","58.131992145599","54.446916903098","44.457418988324","63.651814832522","61.477847474368","66.107149198988","46.310820517654","62.534983039522","42.915386832949","42.175493003995","44.622873120487","40.576444476169","43.354469096153","40.687077842875","48.915775860048"
"2Q Abr 2003","54.122240013856","58.195622368874","54.461049282577","44.467346992802","63.669886530665","61.589530462147","66.192869340255","46.310820517654","62.713076794979","42.872864647340","42.040029791264","44.207865414709","40.613444313384","43.369682331983","40.634497110590","49.064988583939"
"1Q May 2003","53.898958316884","58.274381303012","54.529751091598","44.571049411088","63.704411681486","61.677767323333","66.319339233547","46.315955719385","62.798714416288","41.852238438111","41.868128181504","44.299351721746","40.279698846599","41.822493414791","38.294500790344","49.073177238642"
"2Q May 2003","53.961642969631","58.361823949823","54.603016984050","44.608034312764","63.812032524709","61.778672557610","66.396813331297","46.342400639247","62.949078876118","41.848658019135","41.941680709300","44.180961222981","40.471307015129","41.771016087156","38.209759680801","49.087049651192"
"1Q Jun 2003","53.950763815022","58.377052235741","54.582711835230","44.625200662588","63.755834349693","61.828528985964","66.516331734208","46.344464894228","62.954419956044","41.768518634637","41.679095873963","43.600709025663","40.404941185524","41.804211130228","38.251278633998","49.104028926001"
"2Q Jun 2003","53.999460983270","58.386121481465","54.508464700945","44.639494332642","63.596971051007","61.918907499403","66.617237940165","46.373691643973","63.058448130933","41.921856505152","41.978012792340","44.673772718934","40.226419371766","41.867073393268","38.339375175091","49.117477103528"
